freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,L0008,KM2,AT32	7056 	7056 	7056 	7056 	7056 	7057 	7057 	7057 	7057 	7057 	7057 	7052 
A,L0008,KM2,AT321	1013 	1013 	1013 	1013 	1013 	1013 	1013 	1013 	1013 	1013 	1013 	1013 
A,L0008,KM2,AT322	4357 	4357 	4357 	4357 	4357 	4357 	4357 	4357 	4357 	4357 	4357 	4353 
A,L0008,KM2,AT323	1687 	1687 	1687 	1687 	1687 	1687 	1687 	1687 	1687 	1687 	1687 	1686 
A,L0008,KM2,AT33	12510 	12510 	12510 	12510 	12510 	12511 	12511 	12511 	12511 	12511 	12511 	12505 
A,L0008,KM2,AT331	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1212 
A,L0008,KM2,AT332	2079 	2079 	2079 	2079 	2079 	2079 	2079 	2079 	2079 	2079 	2079 	2079 
A,L0008,KM2,AT333	2007 	2007 	2007 	2007 	2007 	2007 	2007 	2007 	2007 	2007 	2007 	2006 
A,L0008,KM2,AT334	3287 	3287 	3287 	3287 	3287 	3287 	3287 	3287 	3287 	3287 	3287 	3286 
A,L0008,KM2,AT335	3924 	3924 	3924 	3924 	3924 	3924 	3924 	3924 	3924 	3924 	3924 	3922 
A,L0008,KM2,AT34	2532 	2532 	2532 	2532 	2532 	2532 	2532 	2532 	2532 	2532 	2532 	2531 
A,L0008,KM2,AT341	1854 	1854 	1854 	1854 	1854 	1854 	1854 	1854 	1854 	1854 	1854 	1853 
A,L0008,KM2,AT342	678 	678 	678 	678 	678 	678 	678 	678 	678 	678 	678 	678 
A,L0008,KM2,BE	30450 	30450 	30450 	30450 	30450 	30451 	30451 	30451 	30452 	30452 	30452 	30452 
A,L0008,KM2,BE1	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
A,L0008,KM2,BE10	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
A,L0008,KM2,BE100	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 	162 
