freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,L0008,KM2,DEE05	1418 e	1418 e	1418 e	1418 e	1418 e	1418 	1418 	1418 	1418 	1418 	1418 	1418 
A,L0008,KM2,DEE06	1564 e	1564 e	1564 e	1564 e	1564 e	1564 	1564 	1564 	1564 	1564 	1564 	1564 
A,L0008,KM2,DEE07	2361 e	2361 e	2361 e	2361 e	2361 e	2361 	2361 	2361 	2361 	2361 	2361 	2361 
A,L0008,KM2,DEE08	1411 e	1411 e	1411 e	1411 e	1411 e	1411 	1411 	1411 	1411 	1411 	1411 	1411 
A,L0008,KM2,DEE09	2097 e	2097 e	2097 e	2097 e	2097 e	2097 	2097 	2097 	2097 	2097 	2097 	2097 
A,L0008,KM2,DEE0A	1439 e	1439 e	1439 e	1439 e	1439 e	1439 	1439 	1439 	1439 	1439 	1439 	1439 
A,L0008,KM2,DEE0B	1402 e	1402 e	1402 e	1402 e	1402 e	1402 	1402 	1402 	1402 	1402 	1402 	1402 
A,L0008,KM2,DEE0C	1407 e	1407 e	1407 e	1407 e	1407 e	1407 	1407 	1407 	1407 	1407 	1407 	1407 
A,L0008,KM2,DEE0D	2391 e	2391 e	2391 e	2391 e	2391 e	2391 	2391 	2391 	2391 	2391 	2391 	2391 
A,L0008,KM2,DEE0E	1903 e	1903 e	1903 e	1903 e	1903 e	1903 	1903 	1903 	1903 	1903 	1903 	1903 
A,L0008,KM2,DEF	15405 e	15405 e	15405 e	15405 e	15405 e	15408 	15408 	15408 	15408 	15408 	15408 	15408 
A,L0008,KM2,DEF0	15405 e	15405 e	15405 e	15405 e	15405 e	15408 	15408 	15408 	15408 	15408 	15408 	15408 
A,L0008,KM2,DEF01	57 e	57 e	57 e	57 e	57 e	57 	57 	57 	57 	57 	57 	57 
A,L0008,KM2,DEF02	117 e	117 e	117 e	117 e	117 e	117 	117 	117 	117 	117 	117 	117 
A,L0008,KM2,DEF03	190 e	190 e	190 e	190 e	190 e	190 	190 	190 	190 	190 	190 	190 
A,L0008,KM2,DEF04	70 e	70 e	70 e	70 e	70 e	70 	70 	70 	70 	70 	70 	70 
A,L0008,KM2,DEF05	1398 e	1398 e	1398 e	1398 e	1398 e	1398 	1398 	1398 	1398 	1398 	1398 	1398 
A,L0008,KM2,DEF06	1224 e	1224 e	1224 e	1224 e	1224 e	1224 	1224 	1224 	1224 	1224 	1224 	1224 
A,L0008,KM2,DEF07	2053 e	2053 e	2053 e	2053 e	2053 e	2053 	2053 	2053 	2053 	2053 	2053 	2053 
A,L0008,KM2,DEF08	1360 e	1360 e	1360 e	1360 e	1360 e	1360 	1360 	1360 	1360 	1360 	1360 	1360 
A,L0008,KM2,DEF09	640 e	640 e	640 e	640 e	640 e	640 	640 	640 	640 	640 	640 	640 
A,L0008,KM2,DEF0A	989 e	989 e	989 e	989 e	989 e	989 	989 	989 	989 	989 	989 	989 
A,L0008,KM2,DEF0B	2140 e	2140 e	2140 e	2140 e	2140 e	2140 	2140 	2140 	2140 	2140 	2140 	2140 
A,L0008,KM2,DEF0C	2059 e	2059 e	2059 e	2059 e	2059 e	2059 	2059 	2059 	2059 	2059 	2059 	2059 
A,L0008,KM2,DEF0D	1331 e	1331 e	1331 e	1331 e	1331 e	1331 	1331 	1331 	1331 	1331 	1331 	1331 
A,L0008,KM2,DEF0E	1016 e	1016 e	1016 e	1016 e	1016 e	1016 	1016 	1016 	1016 	1016 	1016 	1016 
A,L0008,KM2,DEF0F	764 e	764 e	764 e	764 e	764 e	764 	764 	764 	764 	764 	764 	764 
A,L0008,KM2,DEG	16146 e	16146 e	16146 e	16146 e	16146 e	16145 	16145 	16145 	16145 	16145 	16145 	16109 
A,L0008,KM2,DEG0	16146 e	16146 e	16146 e	16146 e	16146 e	16145 	16145 	16145 	16145 	16145 	16145 	16109 
A,L0008,KM2,DEG01	267 e	267 e	267 e	267 e	267 e	267 	267 	267 	267 	267 	267 	267 
A,L0008,KM2,DEG02	152 e	152 e	152 e	152 e	152 e	152 	152 	152 	152 	152 	152 	152 
A,L0008,KM2,DEG03	115 e	115 e	115 e	115 e	115 e	115 	115 	115 	115 	115 	115 	115 
A,L0008,KM2,DEG04	103 e	103 e	103 e	103 e	103 e	103 	103 	103 	103 	103 	103 	: z
A,L0008,KM2,DEG05	84 e	84 e	84 e	84 e	84 e	84 	84 	84 	84 	84 	84 	84 
A,L0008,KM2,DEG06	943 e	943 e	943 e	943 e	943 e	943 	943 	943 	943 	943 	943 	943 
A,L0008,KM2,DEG07	709 e	709 e	709 e	709 e	709 e	709 	709 	709 	709 	709 	709 	709 
A,L0008,KM2,DEG09	978 e	978 e	978 e	978 e	978 e	978 	978 	978 	978 	978 	978 	978 
A,L0008,KM2,DEG0A	1037 e	1037 e	1037 e	1037 e	1037 e	1037 	1037 	1037 	1037 	1037 	1037 	1037 
A,L0008,KM2,DEG0B	1210 e	1210 e	1210 e	1210 e	1210 e	1210 	1210 	1210 	1210 	1210 	1210 	: z
A,L0008,KM2,DEG0C	932 e	932 e	932 e	932 e	932 e	932 	932 	932 	932 	932 	932 	932 
A,L0008,KM2,DEG0D	802 e	802 e	802 e	802 e	802 e	802 	802 	802 	802 	802 	802 	802 
A,L0008,KM2,DEG0E	936 e	936 e	936 e	936 e	936 e	936 	936 	936 	936 	936 	936 	936 
A,L0008,KM2,DEG0F	843 e	843 e	843 e	843 e	843 e	843 	843 	843 	843 	843 	843 	: z
A,L0008,KM2,DEG0G	804 e	804 e	804 e	804 e	804 e	804 	804 	804 	804 	804 	804 	804 
A,L0008,KM2,DEG0H	432 e	432 e	432 e	432 e	432 e	432 	432 	432 	432 	432 	432 	: z
A,L0008,KM2,DEG0I	1029 e	1029 e	1029 e	1029 e	1029 e	1029 	1029 	1029 	1029 	1029 	1029 	: z
A,L0008,KM2,DEG0J	815 e	815 e	815 e	815 e	815 e	815 	815 	815 	815 	815 	815 	815 
A,L0008,KM2,DEG0K	1135 e	1135 e	1135 e	1135 e	1135 e	1135 	1135 	1135 	1135 	1135 	1135 	1135 
A,L0008,KM2,DEG0L	842 e	842 e	842 e	842 e	842 e	842 	842 	842 	842 	842 	842 	842 
A,L0008,KM2,DEG0M	567 e	567 e	567 e	567 e	567 e	567 	567 	567 	567 	567 	567 	567 
A,L0008,KM2,DEG0N	104 e	104 e	104 e	104 e	104 e	104 	104 	104 	104 	104 	104 	: z
A,L0008,KM2,DEG0P	1306 e	1306 e	1306 e	1306 e	1306 e	1306 	1306 	1306 	1306 	1306 	1306 	: z
A,L0008,KM2,DEG0Q	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1243 
A,L0008,KM2,DEG0R	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1356 
A,L0008,KM2,DEG0S	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141 
A,L0008,KM2,DEG0T	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	798 
A,L0008,KM2,DEG0U	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	996 
A,L0008,KM2,DEG0V	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	457 
A,L0008,KM2,DK	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 
A,L0008,KM2,DK0	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 	41987 
A,L0008,KM2,DK01	2435 	2435 	2435 	2435 	2435 	2435 	2435 	2435 	2435 	2435 	2435 	2435 
A,L0008,KM2,DK011	174 	174 	174 	174 	174 	174 	174 	174 	174 	174 	174 	174 
A,L0008,KM2,DK012	330 	330 	330 	330 	330 	330 	330 	330 	330 	330 	330 	330 
A,L0008,KM2,DK013	1350 	1350 	1350 	1350 	1350 	1350 	1350 	1350 	1350 	1350 	1350 	1350 
A,L0008,KM2,DK014	581 	581 	581 	581 	581 	581 	581 	581 	581 	581 	581 	581 
A,L0008,KM2,DK02	7077 	7077 	7077 	7077 	7077 	7077 	7077 	7077 	7077 	7077 	7077 	7077 
A,L0008,KM2,DK021	791 	791 	791 	791 	791 	791 	791 	791 	791 	791 	791 	791 
A,L0008,KM2,DK022	6286 	6286 	6286 	6286 	6286 	6286 	6286 	6286 	6286 	6286 	6286 	6286 
A,L0008,KM2,DK03	11990 	11990 	11990 	11990 	11990 	11990 	11990 	11990 	11990 	11990 	11990 	11990 
A,L0008,KM2,DK031	3412 	3412 	3412 	3412 	3412 	3412 	3412 	3412 	3412 	3412 	3412 	3412 
A,L0008,KM2,DK032	8578 	8578 	8578 	8578 	8578 	8578 	8578 	8578 	8578 	8578 	8578 	8578 
A,L0008,KM2,DK04	12767 	12767 	12767 	12767 	12767 	12767 	12767 	12767 	12767 	12767 	12767 	12767 
A,L0008,KM2,DK041	7013 	7013 	7013 	7013 	7013 	7013 	7013 	7013 	7013 	7013 	7013 	7013 
A,L0008,KM2,DK042	5754 	5754 	5754 	5754 	5754 	5754 	5754 	5754 	5754 	5754 	5754 	5754 
A,L0008,KM2,DK05	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 
A,L0008,KM2,DK050	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 	7718 
A,L0008,KM2,EE	43465 	43465 	43465 	43465 	43465 	43466 	43466 	43466 	43110 	43110 	43110 	43110 
A,L0008,KM2,EE0	43465 	43465 	43465 	43465 	43465 	43466 	43466 	43466 	43110 	43110 	43110 	43110 
A,L0008,KM2,EE00	43465 	43465 	43465 	43465 	43465 	43466 	43466 	43466 	43110 	43110 	43110 	43110 
A,L0008,KM2,EE001	4338 	4338 	4338 	4338 	4338 	4338 	4338 	4338 	4275 	4275 	4275 	4275 
A,L0008,KM2,EE004	11193 	11193 	11193 	11193 	11193 	11193 	11193 	11193 	11115 	11115 	11115 	11115 
A,L0008,KM2,EE006	9068 	9068 	9068 	9068 	9068 	9068 	9068 	9068 	: z	: z	: z	: z
A,L0008,KM2,EE007	3337 	3337 	3337 	3337 	3337 	3337 	3337 	3337 	: z	: z	: z	: z
A,L0008,KM2,EE008	15530 	15530 	15530 	15530 	15530 	15530 	15530 	15530 	15656 	15656 	15656 	15656 
A,L0008,KM2,EE009	: z	: z	: z	: z	: z	: z	: z	: z	9105 	9105 	9105 	9105 
A,L0008,KM2,EE00A	: z	: z	: z	: z	: z	: z	: z	: z	2959 	2959 	2959 	2959 
A,L0008,KM2,EL	130051 	130051 	130051 	130051 	130051 	130048 	130048 	130048 	130048 	130048 	130048 	130048 
A,L0008,KM2,EL3	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 
A,L0008,KM2,EL30	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 	3788 
A,L0008,KM2,EL301	134 	134 	134 	134 	134 	134 	134 	134 	134 	134 	134 	134 
A,L0008,KM2,EL302	68 	68 	68 	68 	68 	68 	68 	68 	68 	68 	68 	68 
A,L0008,KM2,EL303	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 
A,L0008,KM2,EL304	70 	70 	70 	70 	70 	70 	70 	70 	70 	70 	70 	70 
A,L0008,KM2,EL305	1509 	1509 	1509 	1509 	1509 	1509 	1509 	1509 	1509 	1509 	1509 	1509 
A,L0008,KM2,EL306	1003 	1003 	1003 	1003 	1003 	1003 	1003 	1003 	1003 	1003 	1003 	1003 
A,L0008,KM2,EL307	916 	916 	916 	916 	916 	916 	916 	916 	916 	916 	916 	916 
A,L0008,KM2,EL4	17338 	17338 	17338 	17338 	17338 	17337 	17337 	17337 	17337 	17337 	17337 	17337 
A,L0008,KM2,EL41	3801 	3801 	3801 	3801 	3801 	3801 	3801 	3801 	3801 	3801 	3801 	3801 
A,L0008,KM2,EL411	2132 	2132 	2132 	2132 	2132 	2132 	2132 	2132 	2132 	2132 	2132 	2132 
A,L0008,KM2,EL412	770 	770 	770 	770 	770 	770 	770 	770 	770 	770 	770 	770 
A,L0008,KM2,EL413	899 	899 	899 	899 	899 	899 	899 	899 	899 	899 	899 	899 
A,L0008,KM2,EL42	5231 	5231 	5231 	5231 	5231 	5231 	5231 	5231 	5231 	5231 	5231 	5231 
A,L0008,KM2,EL421	2672 	2672 	2672 	2672 	2672 	2672 	2672 	2672 	2672 	2672 	2672 	2672 
A,L0008,KM2,EL422	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 
A,L0008,KM2,EL43	8306 	8306 	8306 	8306 	8306 	8305 	8305 	8305 	8305 	8305 	8305 	8305 
A,L0008,KM2,EL431	2633 	2633 	2633 	2633 	2633 	2633 	2633 	2633 	2633 	2633 	2633 	2633 
A,L0008,KM2,EL432	1816 	1816 	1816 	1816 	1816 	1816 	1816 	1816 	1816 	1816 	1816 	1816 
A,L0008,KM2,EL433	1491 	1491 	1491 	1491 	1491 	1491 	1491 	1491 	1491 	1491 	1491 	1491 
A,L0008,KM2,EL434	2365 	2365 	2365 	2365 	2365 	2365 	2365 	2365 	2365 	2365 	2365 	2365 
A,L0008,KM2,EL5	50796 	50796 	50796 	50796 	50796 	50795 	50795 	50795 	50795 	50795 	50795 	50795 
A,L0008,KM2,EL51	13993 	13993 	13993 	13993 	13993 	13992 	13992 	13992 	13992 	13992 	13992 	13992 
A,L0008,KM2,EL511	4184 	4184 	4184 	4184 	4184 	4184 	4184 	4184 	4184 	4184 	4184 	4184 
A,L0008,KM2,EL512	1764 	1764 	1764 	1764 	1764 	1764 	1764 	1764 	1764 	1764 	1764 	1764 
A,L0008,KM2,EL513	2511 	2511 	2511 	2511 	2511 	2511 	2511 	2511 	2511 	2511 	2511 	2511 
A,L0008,KM2,EL514	3437 	3437 	3437 	3437 	3437 	3437 	3437 	3437 	3437 	3437 	3437 	3437 
A,L0008,KM2,EL515	2096 	2096 	2096 	2096 	2096 	2096 	2096 	2096 	2096 	2096 	2096 	2096 
A,L0008,KM2,EL52	18502 	18502 	18502 	18502 	18502 	18501 	18501 	18501 	18501 	18501 	18501 	18501 
A,L0008,KM2,EL521	1679 	1679 	1679 	1679 	1679 	1679 	1679 	1679 	1679 	1679 	1679 	1679 
A,L0008,KM2,EL522	3555 	3555 	3555 	3555 	3555 	3555 	3555 	3555 	3555 	3555 	3555 	3555 
A,L0008,KM2,EL523	2498 	2498 	2498 	2498 	2498 	2498 	2498 	2498 	2498 	2498 	2498 	2498 
A,L0008,KM2,EL524	2476 	2476 	2476 	2476 	2476 	2476 	2476 	2476 	2476 	2476 	2476 	2476 
A,L0008,KM2,EL525	1518 	1518 	1518 	1518 	1518 	1518 	1518 	1518 	1518 	1518 	1518 	1518 
A,L0008,KM2,EL526	3864 	3864 	3864 	3864 	3864 	3864 	3864 	3864 	3864 	3864 	3864 	3864 
A,L0008,KM2,EL527	2911 	2911 	2911 	2911 	2911 	2911 	2911 	2911 	2911 	2911 	2911 	2911 
A,L0008,KM2,EL53	9228 	9228 	9228 	9228 	9228 	9229 	9229 	9229 	9229 	9229 	9229 	9229 
A,L0008,KM2,EL531	5733 	5733 	5733 	5733 	5733 	5733 	5733 	5733 	5733 	5733 	5733 	5733 
A,L0008,KM2,EL532	1695 	1695 	1695 	1695 	1695 	1695 	1695 	1695 	1695 	1695 	1695 	1695 
A,L0008,KM2,EL533	1801 	1801 	1801 	1801 	1801 	1801 	1801 	1801 	1801 	1801 	1801 	1801 
A,L0008,KM2,EL54	9074 	9074 	9074 	9074 	9074 	9073 	9073 	9073 	9073 	9073 	9073 	9073 
A,L0008,KM2,EL541	2605 	2605 	2605 	2605 	2605 	2605 	2605 	2605 	2605 	2605 	2605 	2605 
A,L0008,KM2,EL542	1507 	1507 	1507 	1507 	1507 	1507 	1507 	1507 	1507 	1507 	1507 	1507 
A,L0008,KM2,EL543	4961 	4961 	4961 	4961 	4961 	4961 	4961 	4961 	4961 	4961 	4961 	4961 
A,L0008,KM2,EL6	58129 	58129 	58129 	58129 	58129 	58128 	58128 	58128 	58128 	58128 	58128 	58128 
A,L0008,KM2,EL61	13938 	13938 	13938 	13938 	13938 	13938 	13938 	13938 	13938 	13938 	13938 	13938 
A,L0008,KM2,EL611	5981 	5981 	5981 	5981 	5981 	5981 	5981 	5981 	5981 	5981 	5981 	5981 
A,L0008,KM2,EL612	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 
A,L0008,KM2,EL613	2594 	2594 	2594 	2594 	2594 	2594 	2594 	2594 	2594 	2594 	2594 	2594 
A,L0008,KM2,EL62	2276 	2276 	2276 	2276 	2276 	2276 	2276 	2276 	2276 	2276 	2276 	2276 
A,L0008,KM2,EL621	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 
A,L0008,KM2,EL622	625 	625 	625 	625 	625 	625 	625 	625 	625 	625 	625 	625 
A,L0008,KM2,EL623	896 	896 	896 	896 	896 	896 	896 	896 	896 	896 	896 	896 
A,L0008,KM2,EL624	350 	350 	350 	350 	350 	350 	350 	350 	350 	350 	350 	350 
A,L0008,KM2,EL63	11033 	11033 	11033 	11033 	11033 	11033 	11033 	11033 	11033 	11033 	11033 	11033 
A,L0008,KM2,EL631	5183 	5183 	5183 	5183 	5183 	5183 	5183 	5183 	5183 	5183 	5183 	5183 
A,L0008,KM2,EL632	3265 	3265 	3265 	3265 	3265 	3265 	3265 	3265 	3265 	3265 	3265 	3265 
A,L0008,KM2,EL633	2585 	2585 	2585 	2585 	2585 	2585 	2585 	2585 	2585 	2585 	2585 	2585 
A,L0008,KM2,EL64	15419 	15419 	15419 	15419 	15419 	15418 	15418 	15418 	15418 	15418 	15418 	15418 
A,L0008,KM2,EL641	2923 	2923 	2923 	2923 	2923 	2923 	2923 	2923 	2923 	2923 	2923 	2923 
A,L0008,KM2,EL642	4137 	4137 	4137 	4137 	4137 	4137 	4137 	4137 	4137 	4137 	4137 	4137 
A,L0008,KM2,EL643	1824 	1824 	1824 	1824 	1824 	1824 	1824 	1824 	1824 	1824 	1824 	1824 
A,L0008,KM2,EL644	4428 	4428 	4428 	4428 	4428 	4428 	4428 	4428 	4428 	4428 	4428 	4428 
A,L0008,KM2,EL645	2106 	2106 	2106 	2106 	2106 	2106 	2106 	2106 	2106 	2106 	2106 	2106 
A,L0008,KM2,EL65	15463 	15463 	15463 	15463 	15463 	15463 	15463 	15463 	15463 	15463 	15463 	15463 
A,L0008,KM2,EL651	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 	6559 
A,L0008,KM2,EL652	2287 	2287 	2287 	2287 	2287 	2287 	2287 	2287 	2287 	2287 	2287 	2287 
A,L0008,KM2,EL653	6617 	6617 	6617 	6617 	6617 	6617 	6617 	6617 	6617 	6617 	6617 	6617 
A,L0008,KM2,ES	502653 	502653 	502653 	502653 	502653 	502654 	502654 	502654 	502654 	502654 	502654 	502654 
A,L0008,KM2,ES1	45208 	45208 	45208 	45208 	45208 	45208 	45208 	45208 	45208 	45208 	45208 	45208 
A,L0008,KM2,ES11	29375 	29375 	29375 	29375 	29375 	29375 	29375 	29375 	29375 	29375 	29375 	29375 
A,L0008,KM2,ES111	7892 	7892 	7892 	7892 	7892 	7892 	7892 	7892 	7892 	7892 	7892 	7892 
A,L0008,KM2,ES112	9819 	9819 	9819 	9819 	9819 	9819 	9819 	9819 	9819 	9819 	9819 	9819 
A,L0008,KM2,ES113	7201 	7201 	7201 	7201 	7201 	7201 	7201 	7201 	7201 	7201 	7201 	7201 
A,L0008,KM2,ES114	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 	4463 
A,L0008,KM2,ES12	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 
A,L0008,KM2,ES120	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 	10565 
A,L0008,KM2,ES13	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 
A,L0008,KM2,ES130	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 	5268 
A,L0008,KM2,ES2	70027 	70027 	70027 	70027 	70027 	70026 	70026 	70026 	70026 	70026 	70026 	70026 
A,L0008,KM2,ES21	7191 	7191 	7191 	7191 	7191 	7190 	7190 	7190 	7190 	7190 	7190 	7190 
A,L0008,KM2,ES211	3012 	3012 	3012 	3012 	3012 	3012 	3012 	3012 	3012 	3012 	3012 	3012 
A,L0008,KM2,ES212	1973 	1973 	1973 	1973 	1973 	1973 	1973 	1973 	1973 	1973 	1973 	1973 
A,L0008,KM2,ES213	2205 	2205 	2205 	2205 	2205 	2205 	2205 	2205 	2205 	2205 	2205 	2205 
A,L0008,KM2,ES22	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 
A,L0008,KM2,ES220	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 	10347 
A,L0008,KM2,ES23	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 
A,L0008,KM2,ES230	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 	5031 
A,L0008,KM2,ES24	47458 	47458 	47458 	47458 	47458 	47458 	47458 	47458 	47458 	47458 	47458 	47458 
A,L0008,KM2,ES241	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 
A,L0008,KM2,ES242	14791 	14791 	14791 	14791 	14791 	14791 	14791 	14791 	14791 	14791 	14791 	14791 
A,L0008,KM2,ES243	17125 	17125 	17125 	17125 	17125 	17125 	17125 	17125 	17125 	17125 	17125 	17125 
A,L0008,KM2,ES3	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 
A,L0008,KM2,ES30	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 
A,L0008,KM2,ES300	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 	7972 
A,L0008,KM2,ES4	213838 	213838 	213838 	213838 	213838 	213837 	213837 	213837 	213837 	213837 	213837 	213837 
A,L0008,KM2,ES41	93807 	93807 	93807 	93807 	93807 	93806 	93806 	93806 	93806 	93806 	93806 	93806 
A,L0008,KM2,ES411	8030 	8030 	8030 	8030 	8030 	8030 	8030 	8030 	8030 	8030 	8030 	8030 
A,L0008,KM2,ES412	14259 	14259 	14259 	14259 	14259 	14259 	14259 	14259 	14259 	14259 	14259 	14259 
A,L0008,KM2,ES413	15523 	15523 	15523 	15523 	15523 	15523 	15523 	15523 	15523 	15523 	15523 	15523 
A,L0008,KM2,ES414	8026 	8026 	8026 	8026 	8026 	8026 	8026 	8026 	8026 	8026 	8026 	8026 
A,L0008,KM2,ES415	12263 	12263 	12263 	12263 	12263 	12263 	12263 	12263 	12263 	12263 	12263 	12263 
A,L0008,KM2,ES416	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 	6917 
A,L0008,KM2,ES417	10282 	10282 	10282 	10282 	10282 	10282 	10282 	10282 	10282 	10282 	10282 	10282 
A,L0008,KM2,ES418	8092 	8092 	8092 	8092 	8092 	8092 	8092 	8092 	8092 	8092 	8092 	8092 
A,L0008,KM2,ES419	10414 	10414 	10414 	10414 	10414 	10414 	10414 	10414 	10414 	10414 	10414 	10414 
A,L0008,KM2,ES42	79109 	79109 	79109 	79109 	79109 	79109 	79109 	79109 	79109 	79109 	79109 	79109 
A,L0008,KM2,ES421	14893 	14893 	14893 	14893 	14893 	14893 	14893 	14893 	14893 	14893 	14893 	14893 
A,L0008,KM2,ES422	19750 	19750 	19750 	19750 	19750 	19750 	19750 	19750 	19750 	19750 	19750 	19750 
A,L0008,KM2,ES423	17036 	17036 	17036 	17036 	17036 	17036 	17036 	17036 	17036 	17036 	17036 	17036 
A,L0008,KM2,ES424	12153 	12153 	12153 	12153 	12153 	12153 	12153 	12153 	12153 	12153 	12153 	12153 
A,L0008,KM2,ES425	15277 	15277 	15277 	15277 	15277 	15277 	15277 	15277 	15277 	15277 	15277 	15277 
A,L0008,KM2,ES43	40923 	40923 	40923 	40923 	40923 	40922 	40922 	40922 	40922 	40922 	40922 	40922 
A,L0008,KM2,ES431	21356 	21356 	21356 	21356 	21356 	21356 	21356 	21356 	21356 	21356 	21356 	21356 
A,L0008,KM2,ES432	19566 	19566 	19566 	19566 	19566 	19566 	19566 	19566 	19566 	19566 	19566 	19566 
A,L0008,KM2,ES5	60072 	60072 	60072 	60072 	60072 	60072 	60072 	60072 	60072 	60072 	60072 	60072 
A,L0008,KM2,ES51	31965 	31965 	31965 	31965 	31965 	31964 	31964 	31964 	31964 	31964 	31964 	31964 
A,L0008,KM2,ES511	7715 	7715 	7715 	7715 	7715 	7715 	7715 	7715 	7715 	7715 	7715 	7715 
A,L0008,KM2,ES512	5895 	5895 	5895 	5895 	5895 	5895 	5895 	5895 	5895 	5895 	5895 	5895 
A,L0008,KM2,ES513	12105 	12105 	12105 	12105 	12105 	12105 	12105 	12105 	12105 	12105 	12105 	12105 
A,L0008,KM2,ES514	6249 	6249 	6249 	6249 	6249 	6249 	6249 	6249 	6249 	6249 	6249 	6249 
A,L0008,KM2,ES52	23135 	23135 	23135 	23135 	23135 	23135 	23135 	23135 	23135 	23135 	23135 	23135 
A,L0008,KM2,ES521	5767 	5767 	5767 	5767 	5767 	5767 	5767 	5767 	5767 	5767 	5767 	5767 
A,L0008,KM2,ES522	6621 	6621 	6621 	6621 	6621 	6621 	6621 	6621 	6621 	6621 	6621 	6621 
