Lon	Lat	Year	Total
26.25	67.25	2020	19.677
-0.25	42.25	2020	8.1
0.25	49.25	2020	1.343
13.75	52.75	2020	8.76
13.75	55.75	2020	6.501
23.75	60.75	2020	11.599
27.75	67.75	2020	21.776
7.25	47.75	2020	8.678
6.75	49.75	2020	8.952
18.25	53.75	2020	13.876
-4.75	36.75	2020	1.523
0.25	47.75	2020	3.655
13.25	59.75	2020	15.224
25.25	65.25	2020	8.355
1.75	42.75	2020	13.559
21.25	64.75	2020	11.068
12.75	49.75	2020	8.044
25.25	61.75	2020	12.788
-0.75	43.75	2020	7.881
9.25	48.75	2020	5.376
5.75	43.25	2020	5.197
19.75	64.75	2020	27.116
-2.25	42.25	2020	4.943
18.25	51.25	2020	4.388
-0.75	47.75	2020	0.393
25.75	64.75	2020	14.095
-7.75	42.75	2020	7.396
22.25	50.25	2020	5.689
7.75	50.75	2020	9.065
7.25	53.25	2020	0.154
-5.75	41.75	2020	1.267
9.75	49.25	2020	8.427
14.75	52.25	2020	9.058
-1.25	44.25	2020	10.934
-5.75	41.25	2020	1.465
8.25	50.25	2020	8.342
22.75	62.25	2020	24.048
-2.25	38.75	2020	5.71
25.75	61.25	2020	11.49
-3.25	37.75	2020	2.013
23.75	62.25	2020	20.382
21.75	62.75	2020	14.32
18.25	57.25	2020	5.929
26.25	65.25	2020	29.689
8.25	51.75	2020	1.016
7.25	51.75	2020	4.771
-4.75	41.25	2020	1.892
-2.75	40.25	2020	2.266
2.25	45.25	2020	14.133
25.75	60.25	2020	4.753
15.25	62.75	2020	22.1
21.75	61.75	2020	13.261
20.25	51.25	2020	8.317
-4.25	38.75	2020	2.314
-5.75	38.25	2020	2.248
17.25	64.75	2020	19.088
27.75	64.25	2020	15.86
11.25	51.25	2020	3.16
16.25	52.25	2020	5.289
0.25	44.75	2020	3.561
9.75	53.25	2020	8.187
2.25	47.75	2020	14.982
-4.75	37.75	2020	0.782
1.75	44.25	2020	9.816
13.25	63.25	2020	11.454
28.75	66.25	2020	29.735
3.75	49.75	2020	2.421
13.75	48.75	2020	11.964
3.25	47.25	2020	8.075
22.75	49.75	2020	4.795
-1.75	39.75	2020	7.977
26.75	60.75	2020	11.549
28.75	63.75	2020	21.771
16.25	57.25	2020	18.718
13.75	53.25	2020	4.729
1.75	49.25	2020	3.006
19.75	63.75	2020	21.683
27.25	67.25	2020	32.055
1.75	46.75	2020	2.854
0.25	48.75	2020	2.323
15.75	64.25	2020	22.639
8.75	48.75	2020	8.088
22.25	61.25	2020	13.176
22.25	62.25	2020	16.544
20.25	63.75	2020	13.497
2.25	43.25	2020	7.333
8.75	50.25	2020	5.088
-4.25	36.75	2020	1.001
30.25	63.25	2020	17.86
1.75	49.75	2020	2.226
-0.25	44.75	2020	3.448
-4.25	48.25	2020	2.598
-0.75	38.75	2020	3.233
27.75	65.75	2020	35.443
20.75	52.25	2020	3.683
25.75	64.25	2020	19.887
-2.25	37.25	2020	1.656
-3.25	40.25	2020	1.192
-3.25	37.25	2020	4.299
-3.25	43.25	2020	8.845
0.75	42.25	2020	12.06
12.25	57.75	2020	13.347
-4.75	42.25	2020	0.932
15.25	64.25	2020	25.415
22.25	60.25	2020	5.971
14.75	60.75	2020	17.422
20.75	51.25	2020	8.964
1.25	49.75	2020	2.415
1.25	42.75	2020	13.288
-6.25	41.25	2020	4.03
3.25	43.25	2020	0.406
6.25	50.25	2020	9.549
6.75	44.75	2020	11.585
-2.25	43.25	2020	6.896
9.75	53.75	2020	2.156
23.75	53.25	2020	5.802
5.25	48.25	2020	11.31
2.25	46.75	2020	3.243
22.75	60.75	2020	10.754
28.25	66.25	2020	29.701
-6.75	40.75	2020	3.292
15.75	63.75	2020	23.251
15.75	50.25	2020	3.298
17.75	66.75	2020	11.229
-2.75	39.75	2020	1.337
18.25	66.75	2020	11.72
17.25	63.25	2020	23.8
20.25	53.75	2020	7.574
12.75	57.25	2020	16.001
-7.75	42.25	2020	8.277
25.75	68.25	2020	22.141
-8.75	43.25	2020	4.103
-2.75	38.25	2020	7.426
0.75	47.25	2020	2.479
14.75	50.75	2020	7.848
12.25	54.25	2020	2.792
11.25	50.75	2020	9.254
19.25	53.75	2020	3.993
4.25	49.25	2020	1.507
16.25	65.75	2020	8.207
13.75	64.75	2020	3.986
14.75	62.75	2020	25.91
9.25	47.75	2020	4.214
15.25	52.25	2020	17.035
9.75	54.75	2020	1.026
7.25	49.25	2020	7.089
8.25	48.75	2020	9.934
24.25	66.25	2020	35.087
4.75	46.75	2020	4.917
5.75	50.25	2020	11.541
21.25	50.25	2020	3.321
27.75	65.25	2020	35.968
12.75	50.75	2020	4.413
-1.75	37.75	2020	2.04
21.75	51.75	2020	5.772
4.25	43.75	2020	1.848
16.75	49.25	2020	6.351
18.25	64.25	2020	23.042
22.75	50.25	2020	7.207
23.75	51.25	2020	3.288
18.75	66.75	2020	15.129
11.75	58.75	2020	15.776
23.75	52.75	2020	8.173
-2.25	39.75	2020	3.288
27.75	63.25	2020	15.001
16.25	59.75	2020	12.699
24.75	62.75	2020	34.361
21.25	65.75	2020	23.814
-5.75	40.75	2020	1.754
14.25	60.75	2020	24.677
-5.25	36.75	2020	5.11
14.25	63.75	2020	24.426
-5.25	39.75	2020	2.127
26.25	66.75	2020	36.196
1.75	48.25	2020	0.762
16.25	56.75	2020	8.626
19.25	66.25	2020	16.67
12.75	63.75	2020	8.689
12.75	56.75	2020	5.792
-2.25	37.75	2020	4.202
15.75	56.25	2020	11.966
-0.75	46.25	2020	0.854
1.75	43.25	2020	2.813
17.25	53.25	2020	4.898
6.75	47.75	2020	14.791
5.75	49.25	2020	5.518
10.25	50.25	2020	6.893
22.25	49.25	2020	14.793
0.75	44.75	2020	6.811
29.75	65.75	2020	22.649
13.75	59.75	2020	17.16
16.75	60.75	2020	18.66
6.25	43.75	2020	10.215
11.25	58.75	2020	9.514
0.25	47.25	2020	5.292
17.75	63.25	2020	19.999
14.75	57.25	2020	19.449
-6.75	38.75	2020	0.34
16.75	61.75	2020	15.336
-1.25	47.25	2020	0.278
8.25	51.25	2020	13.529
15.25	49.25	2020	6.361
21.25	49.75	2020	4.682
-3.75	39.25	2020	1.477
5.75	48.75	2020	10.628
15.75	49.25	2020	5.327
23.75	51.75	2020	1.51
25.75	65.75	2020	29.593
2.75	50.25	2020	0.309
13.75	49.75	2020	8.397
19.25	54.25	2020	1.331
18.75	59.75	2020	9.371
12.25	50.75	2020	3.502
19.75	66.25	2020	19.992
28.25	65.75	2020	32.533
5.75	44.25	2020	13.487
10.25	51.75	2020	9.472
31.25	62.75	2020	12.37
4.25	45.25	2020	13.869
10.25	46.75	2020	4.303
