NUTS_ID,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total,intersected_surface_area_km2,official_surface_area_2021
AT12,1967,3.411,2.33,5.51,0.252,11.503,566.7425687339156,19179.0
AT12,1968,3.419,2.316,5.508,0.253,11.495,566.7425687339156,19179.0
AT12,1969,3.387,2.319,5.505,0.253,11.464,566.7425687339156,19179.0
AT12,1970,3.309,2.356,5.505,0.26,11.43,566.7425687339156,19179.0
AT12,1971,3.265,2.347,5.503,0.269,11.384,566.7425687339156,19179.0
AT12,1972,3.251,2.349,5.503,0.275,11.377,566.7425687339156,19179.0
AT12,1973,3.198,2.348,5.502,0.281,11.329,566.7425687339156,19179.0
AT12,1974,3.184,2.346,5.502,0.286,11.318,566.7425687339156,19179.0
AT12,1975,3.142,2.342,5.501,0.291,11.276,566.7425687339156,19179.0
AT12,1976,3.11,2.334,5.5,0.296,11.239,566.7425687339156,19179.0
AT12,1977,3.085,2.323,5.499,0.301,11.209,566.7425687339156,19179.0
AT12,1978,3.059,2.321,5.5,0.307,11.186,566.7425687339156,19179.0
AT12,1979,3.023,2.327,5.501,0.311,11.162,566.7425687339156,19179.0
AT12,1980,2.915,2.394,5.503,0.318,11.13,566.7425687339156,19179.0
AT12,1981,2.895,2.369,5.503,0.323,11.09,566.7425687339156,19179.0
AT12,1982,2.875,2.336,5.501,0.327,11.038,566.7425687339156,19179.0
AT12,1983,2.86,2.306,5.495,0.332,10.994,566.7425687339156,19179.0
AT12,1984,2.837,2.315,5.497,0.335,10.985,566.7425687339156,19179.0
AT12,1985,2.819,2.305,5.499,0.339,10.961,566.7425687339156,19179.0
AT12,1986,2.807,2.277,5.496,0.343,10.923,566.7425687339156,19179.0
AT12,1987,2.778,2.268,5.497,0.347,10.89,566.7425687339156,19179.0
AT12,1988,2.756,2.252,5.495,0.351,10.855,566.7425687339156,19179.0
AT12,1989,2.739,2.235,5.494,0.357,10.826,566.7425687339156,19179.0
AT12,1990,2.817,2.197,5.492,0.346,10.852,566.7425687339156,19179.0
AT12,1991,2.869,2.169,5.492,0.337,10.868,566.7425687339156,19179.0
AT12,1992,2.902,2.125,5.488,0.33,10.845,566.7425687339156,19179.0
AT12,1993,2.946,2.098,5.486,0.322,10.852,566.7425687339156,19179.0
AT12,1994,2.964,2.06,5.481,0.316,10.82,566.7425687339156,19179.0
AT12,1995,2.983,2.04,5.479,0.309,10.811,566.7425687339156,19179.0
AT12,1996,3.014,2.033,5.481,0.303,10.831,566.7425687339156,19179.0
AT12,1997,3.066,1.997,5.48,0.299,10.841,566.7425687339156,19179.0
AT12,1998,3.12,1.966,5.475,0.295,10.856,566.7425687339156,19179.0
AT12,1999,3.182,1.927,5.468,0.291,10.868,566.7425687339156,19179.0
AT12,2000,3.244,1.8900000000000001,5.459,0.287,10.88,566.7425687339156,19179.0
AT12,2001,3.299,1.87,5.453,0.283,10.905,566.7425687339156,19179.0
AT12,2002,3.35,1.851,5.446,0.281,10.928,566.7425687339156,19179.0
AT12,2003,3.399,1.8149999999999997,5.436,0.276,10.926,566.7425687339156,19179.0
AT12,2004,3.452,1.807,5.43,0.272,10.961,566.7425687339156,19179.0
AT12,2005,3.488,1.799,5.426,0.271,10.985,566.7425687339156,19179.0
AT12,2006,3.507,1.781,5.419,0.273,10.98,566.7425687339156,19179.0
AT12,2007,3.556,1.771,5.41,0.272,11.008,566.7425687339156,19179.0
AT12,2008,3.622,1.748,5.404,0.267,11.041,566.7425687339156,19179.0
AT12,2009,3.6690000000000005,1.732,5.397,0.266,11.064,566.7425687339156,19179.0
AT12,2010,3.706,1.736,5.394,0.265,11.1,566.7425687339156,19179.0
AT12,2011,3.747,1.716,5.387,0.265,11.114,566.7425687339156,19179.0
AT12,2012,3.79,1.7,5.379,0.263,11.132,566.7425687339156,19179.0
AT12,2013,3.796,1.699,5.374,0.262,11.13,566.7425687339156,19179.0
AT12,2014,3.796,1.711,5.369,0.261,11.137,566.7425687339156,19179.0
AT12,2015,3.7990000000000004,1.688,5.365,0.261,11.112,566.7425687339156,19179.0
AT12,2016,3.812,1.692,5.362,0.264,11.13,566.7425687339156,19179.0
AT12,2017,3.846,1.678,5.357,0.263,11.145,566.7425687339156,19179.0
AT12,2018,3.8580000000000005,1.654,5.347,0.265,11.124,566.7425687339156,19179.0
AT12,2019,3.892,1.641,5.339,0.265,11.136,566.7425687339156,19179.0
AT12,2020,3.9230000000000005,1.642,5.334,0.265,11.164,566.7425687339156,19179.0
AT12,2021,3.94,1.64,5.331,0.265,11.176,566.7425687339156,19179.0
AT12,2022,3.939,1.63,5.322,0.267,11.158,566.7425687339156,19179.0
AT31,1901,3.3281810921626858,1.8687472905188722,3.6196948917887326,0.05876785720656208,8.875373793986059,2783.107327344392,11981.0
AT31,1902,3.3186061663749333,1.8727357909629538,3.6209240356010253,0.060552782012927714,8.872806194724058,2783.107327344392,11981.0
