Country,Year,weighted_sum_Total
AT,2020,50.38490408605392
BE,2020,74.74569008997341
CH,2020,153.8341728621572
CZ,2020,226.5758348763719
DE,2020,1165.8399260126637
DK,2020,0.8899042273956732
ES,2020,922.3446562173651
FI,2020,4411.470298919059
FR,2020,1627.9427955709357
IT,2020,84.85054398546117
LI,2020,0.6741291514829567
LT,2020,2.6255439583499203
LU,2020,10.227486324323191
NL,2020,48.62870009791219
NO,2020,50.371984511345914
PL,2020,999.3022597862155
PT,2020,35.784727553267565
SE,2020,4906.075843055247
SK,2020,58.358398331760455
