Country,Year,weighted_sum_VegC,weighted_sum_LitterC,weighted_sum_SoilC,weighted_sum_HarvSlowC,weighted_sum_Total
AT,1901,17.496945597946524,13.052137134342793,26.957888047043998,0.5008747514665952,58.00789546781512
AT,1902,17.41147358558661,13.041253593482034,26.962683803520992,0.51184761788734,57.92820542447704
AT,1903,17.310651458145358,13.035951356295495,26.970287548424082,0.5205537282761301,57.83789428505182
AT,1904,17.122107555465337,13.099323994057677,26.96819160647257,0.5290100864298816,57.719118078258916
AT,1905,16.809901415758535,13.227510423713394,26.971974591028037,0.5411730952410458,57.553504381947576
AT,1906,16.720030840651194,13.199855790679443,26.983581605239642,0.549703210635762,57.45235343309392
AT,1907,16.63306881801923,13.10328148702224,26.99609393190056,0.5562417390291882,57.289148749022466
AT,1908,16.55220250011975,13.057891910198618,27.002968309062275,0.5639786818168678,57.17619034597526
AT,1909,16.455772409507468,13.06861216667312,27.019801052054564,0.5715693686321974,57.115790614294895
AT,1910,16.485323458077627,13.025014075828183,27.035056869021773,0.5713419656582241,57.11563470467027
AT,1911,16.250581513014275,13.009419938955944,27.031202837683875,0.5732973832688028,56.865457743023136
AT,1912,16.24947025696232,13.063715946605372,27.035332352434047,0.5744179805402961,56.92277398233292
AT,1913,16.272265196549892,13.009343984234953,27.051212888175645,0.5736551928324143,56.90761384728618
AT,1914,16.32725523950671,12.919947300121178,27.058811783644902,0.5760390734296215,56.88041130918748
AT,1915,16.38488191978288,12.815648582208851,27.063346792526517,0.5783795817156168,56.84262788134806
AT,1916,16.399010784533328,12.83318639540915,27.07079082479725,0.5801495040321523,56.88398538097731
AT,1917,16.184595334655874,12.79566519849386,27.072411107023576,0.5849162399146298,56.63833133875672
AT,1918,16.112859715919146,12.788746724727948,27.076137847817197,0.5868385653081425,56.56402035158251
AT,1919,16.05530034687024,12.718225657148613,27.098267287469554,0.5869627933205611,56.45852076240417
AT,1920,16.1421731681004,12.583758339128565,27.106683423986027,0.5915003185804982,56.42264546733458
AT,1921,16.12343835104971,12.403580765157269,27.097806710515965,0.6030528001242754,56.2278091478731
AT,1922,16.05235423542551,12.504989327662795,27.097096505147903,0.6024416124458045,56.258536254600386
AT,1923,16.079542484271304,12.38926241541684,27.10054257387373,0.603430137131217,56.17311490837086
AT,1924,16.156274010249838,12.319103405248338,27.10177186378527,0.6065860441439134,56.181765628403696
AT,1925,16.202580684172606,12.242559137654927,27.099574352253452,0.6050082720601381,56.15082371729985
AT,1926,16.271017177987204,12.165754688096062,27.098746931326737,0.6082650048767158,56.14167796699831
AT,1927,16.347448760278823,12.060411860611628,27.08995008036802,0.6096028329108717,56.107545180126934
AT,1928,16.28673553178983,12.058915874222787,27.078385890752028,0.6143461333467797,56.03837471941807
AT,1929,16.277076318584356,11.981830232023395,27.071549111583607,0.6164756311319833,55.946824844301055
AT,1930,16.18389045212024,11.961013811762651,27.06260835348375,0.6385072246864777,55.846773528558906
AT,1931,16.06017152903723,11.962325963434848,27.06388243144868,0.6606547162020934,55.7480133194865
AT,1932,15.917101776780743,11.874876293050303,27.061135009101733,0.6792334279794346,55.53397472261939
AT,1933,15.78600385862367,11.892835277052212,27.06486894200418,0.7025784711527684,55.44750424428417
AT,1934,15.721514611976394,11.780430438355008,27.062813340817367,0.7272975059897863,55.290794829827654
AT,1935,15.36858733234825,11.899712730961198,27.058559678999806,0.7567932411533663,55.0812623259087
AT,1936,15.255052703895576,11.963652338206975,27.056999621418246,0.7752191745126252,55.05059704331529
AT,1937,15.030465488112663,11.967743817814029,27.0573547784494,0.8046898341181039,54.858529340705545
AT,1938,14.858174142121964,11.93419054336294,27.0531314826574,0.8215461132811942,54.66801361457258
AT,1939,14.673238576248952,11.993708563224843,27.05568087056817,0.8446742827060161,54.56642777806167
AT,1940,14.592649667338113,11.98794448357459,27.06796544777079,0.8655975178210893,54.51383084006157
AT,1941,14.354675438197821,12.083342769895419,27.07928577018688,0.8819445939344103,54.39926443313155
AT,1942,14.24164041821462,11.964065577322291,27.08110324581529,0.8960287277808054,54.18294090495992
AT,1943,14.12404085578851,11.901668152690439,27.071307366483367,0.9121023386645282,54.009950793845505
AT,1944,13.951624273478913,11.935317916340539,27.073130033064487,0.9247546754862025,53.88584323198554
AT,1945,13.856757054825723,11.85191136264036,27.0697122626178,0.9411190713002704,53.71714551507652
AT,1946,13.665091015222396,11.842950368623445,27.061775408436958,0.9573215843546071,53.52797191132898
AT,1947,13.46423380492652,11.739950386878597,27.045064830201724,0.9793528760453479,53.22891949107107
AT,1948,13.370744633635736,11.729113018400362,27.046916127337123,0.9923121667857784,53.140378481282944
AT,1949,13.289288518386062,11.634822780478286,27.04544033768462,1.0016322195844893,52.96942661619592
AT,1950,13.189432958043874,11.553758077869409,27.03286827288257,0.9960576092755188,52.76965715949965
AT,1951,13.122517654215166,11.480638061614831,27.02870289378194,0.991343554519956,52.62405607916599
AT,1952,13.143175376123143,11.381042510717831,27.027309879125777,0.9835983085838325,52.53573651473967
AT,1953,13.172944301803494,11.26038927027623,27.02768109148126,0.9804400713168356,52.4401018819198
AT,1954,13.152767951403735,11.274007165852083,27.033181818702182,0.9757421692755818,52.43627623301427
AT,1955,13.137396240257095,11.24910212818873,27.041884575659918,0.9694595579651583,52.39958504689315
AT,1956,13.085595159348598,11.244539749588858,27.051774278885734,0.9770204050888565,52.36093308478998
AT,1957,13.120149082811729,11.141317240211603,27.049654672840948,0.9748987517529936,52.28586879683352
AT,1958,13.035209018715372,11.06221067622656,27.03956244058821,0.9773295396756605,52.11393680083505
