Country,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total
AT,1901,3.361609981516384,2.507648790773904,5.179298582844075,0.09623082809477627,11.144797777404753
AT,1902,3.345188625669961,2.5055577846959025,5.180219970108598,0.098338995893512,11.129487285432704
AT,1903,3.3258181207971558,2.5045390895556072,5.181680843643355,0.10001166198367663,11.112136209724405
AT,1904,3.289594023187937,2.516714591300402,5.181278159680863,0.10163634429281432,11.089316267804454
AT,1905,3.229611252500677,2.541342477294182,5.182004967601159,0.10397316883147438,11.057497648292866
AT,1906,3.2123448204463356,2.536029316210055,5.184234971381586,0.10561202178977183,11.038063968431267
AT,1907,3.1956371955836977,2.5174749267416354,5.18663890879797,0.10686824003590671,11.00670818167788
AT,1908,3.180100711235752,2.50875443014679,5.187959652167386,0.1083547042851033,10.985005988397688
AT,1909,3.16157402877531,2.510814065125213,5.19119365186993,0.10981306902780281,10.973401657815472
AT,1910,3.167251539703239,2.502437758727107,5.194124683820968,0.10976937911044805,10.973371703595896
AT,1911,3.122151618623405,2.4994417268843256,5.193384225999799,0.11014506475917782,10.925306321743355
AT,1912,3.1219381179632264,2.50987337623987,5.194177611218111,0.11036036010612994,10.936318234713431
AT,1913,3.1263176078585735,2.499427134043147,5.1972286675960335,0.11021380911194416,10.933405585702266
AT,1914,3.136882599116782,2.482251748548058,5.198688609430736,0.11067181343992556,10.92817928359809
AT,1915,3.1479541557226827,2.4622133018814245,5.1995599004247754,0.111121484839541,10.920920122423366
AT,1916,3.150668671379528,2.465582763572785,5.2009900890850735,0.11146153210621779,10.928865954042147
AT,1917,3.1094739890011382,2.4583739836538663,5.201301386669809,0.11237734377357929,10.881669540490659
AT,1918,3.0956917450874384,2.457044768200909,5.202017388727438,0.11274667156249996,10.867392502545792
AT,1919,3.084633120686886,2.443495870574474,5.206269019093681,0.11277053893547614,10.847123337848302
AT,1920,3.1013236076827457,2.4176612655622147,5.207885973799359,0.11364231339004023,10.840230777697121
AT,1921,3.097724170989814,2.383044553307111,5.206180530501443,0.1158618400526483,10.802797746166151
AT,1922,3.084067097458213,2.402527727328628,5.206044081917269,0.1157444152947655,10.808701207893188
AT,1923,3.089290654232071,2.380293632745758,5.206706159704554,0.11593433612585316,10.792289586304022
AT,1924,3.1040327394824643,2.3668142955919964,5.2069423376828,0.1165406664396345,10.79395161049258
AT,1925,3.112929433845386,2.3521081874584677,5.206520139610657,0.11623753613865216,10.788006879360417
AT,1926,3.126077831628262,2.337352091726407,5.206361170924917,0.1168632376636443,10.786249747218124
AT,1927,3.140762290038234,2.3171130449527584,5.20467107125448,0.11712026858644141,10.779691967381552
AT,1928,3.1290977287148776,2.3168256277719257,5.202449295172269,0.11803157770616289,10.76640255581864
AT,1929,3.1272419472389994,2.3020155077542075,5.201135775337317,0.1184407086010545,10.74881348735654
AT,1930,3.109338563068977,2.298016141937115,5.199418027430829,0.12267354023369055,10.729591075091502
AT,1931,3.0855689991522257,2.2982682397752106,5.19966281033766,0.12692863882376565,10.710616717382269
AT,1932,3.058081646885729,2.2814669253286763,5.199134960357603,0.13049808370800628,10.669494438088979
AT,1933,3.0328943896146914,2.284917304684362,5.1998523442029665,0.13498326254742724,10.65288125143586
AT,1934,3.020504358793803,2.263321465249415,5.199457410731355,0.13973242026620775,10.622773371812777
AT,1935,2.952698017435193,2.286238639175485,5.198640173691675,0.1453993040764707,10.58251682802443
AT,1936,2.9308851165424192,2.298523070233947,5.198340446798855,0.14893939632585793,10.576625244292002
AT,1937,2.8877361782279847,2.2993091479301513,5.1984086815324115,0.15460146248118023,10.539724134746594
AT,1938,2.8546346117191876,2.292862707225633,5.197597278581547,0.15783998408306035,10.503121199507452
AT,1939,2.8191037677386785,2.30429763845565,5.198087081090199,0.16228349593816996,10.483603966623342
AT,1940,2.803620580740258,2.30319021158631,5.200447262020742,0.16630338361597694,10.473498751928092
AT,1941,2.757899655362542,2.3215186580983285,5.202622184987432,0.16944407431102013,10.451487620046445
AT,1942,2.7361827420127613,2.2986024640188236,5.202971368459452,0.17214999601912737,10.409926347110673
AT,1943,2.7135888635177645,2.2866143256155147,5.201089329931323,0.17523814706144838,10.376690529980733
AT,1944,2.680463235914573,2.293079304358726,5.2014395107178935,0.177668984004454,10.352846298632201
AT,1945,2.662236821060732,2.277054775856145,5.200782869752543,0.1808130022562174,10.32043516002256
AT,1946,2.6254128812341215,2.2753331401133265,5.199257997420581,0.1839259186966446,10.28409008076074
AT,1947,2.5868230828484307,2.2555442138238075,5.196047468686979,0.1881586923335464,10.226634475420479
AT,1948,2.568861426077224,2.2534620786393624,5.196403150134022,0.1906485029614949,10.20962348681043
AT,1949,2.5532116265995946,2.235346516515445,5.196119613261904,0.19243912306378771,10.176779268782866
AT,1950,2.5340268239449184,2.219771917399663,5.193704198623373,0.19136809809244076,10.138398455636194
AT,1951,2.5211706855973666,2.2057236953763364,5.192903922947651,0.19046240781461454,10.110424770616182
AT,1952,2.525139561409005,2.1865888471746437,5.192636289265741,0.18897434831860582,10.093456327314083
AT,1953,2.530858932092642,2.1634082791663403,5.192707608637026,0.1883675703034773,10.075082472605198
AT,1954,2.5269825400381136,2.1660246245986774,5.193764438780775,0.18746498337448106,10.074347467773947
AT,1955,2.5240292418561956,2.161239730987932,5.195436460591214,0.18625793333406795,10.067298154120433
AT,1956,2.514076931628073,2.160363181572211,5.197336525084873,0.18771056511013784,10.059872125338217
AT,1957,2.520715622556383,2.140531502042929,5.196929294645872,0.18730294133424913,10.045450359079798
