NUTS_ID;2021;freq;landuse;unit
DE93;15387;A;L0008;KM2
DE94;14898;A;L0008;KM2
DEA1;5170;A;L0008;KM2
DEA2;7293;A;L0008;KM2
DEA3;6903;A;L0008;KM2
DEA4;6499;A;L0008;KM2
DEA5;7975;A;L0008;KM2
DEB1;8019;A;L0008;KM2
DEB2;4902;A;L0008;KM2
DEB3;6795;A;L0008;KM2
DEC0;2565;A;L0008;KM2
DED2;7769;A;L0008;KM2
DED4;6509;A;L0008;KM2
DED5;3898;A;L0008;KM2
DEE0;20247;A;L0008;KM2
DEF0;15408;A;L0008;KM2
DEG0;16145;A;L0008;KM2
DK01;2435;A;L0008;KM2
DK02;7077;A;L0008;KM2
DK03;11990;A;L0008;KM2
DK04;12767;A;L0008;KM2
DK05;7718;A;L0008;KM2
EE00;43110;A;L0008;KM2
EL30;3788;A;L0008;KM2
EL41;3801;A;L0008;KM2
EL42;5231;A;L0008;KM2
EL43;8305;A;L0008;KM2
EL51;13992;A;L0008;KM2
EL52;18501;A;L0008;KM2
EL53;9229;A;L0008;KM2
EL54;9073;A;L0008;KM2
EL61;13938;A;L0008;KM2
EL62;2276;A;L0008;KM2
EL63;11033;A;L0008;KM2
EL64;15418;A;L0008;KM2
EL65;15463;A;L0008;KM2
ES11;29375;A;L0008;KM2
ES12;10565;A;L0008;KM2
ES13;5268;A;L0008;KM2
ES21;7190;A;L0008;KM2
ES22;10347;A;L0008;KM2
ES23;5031;A;L0008;KM2
ES24;47458;A;L0008;KM2
ES30;7972;A;L0008;KM2
ES41;93806;A;L0008;KM2
ES42;79109;A;L0008;KM2
ES43;40922;A;L0008;KM2
ES51;31964;A;L0008;KM2
ES52;23135;A;L0008;KM2
ES53;4973;A;L0008;KM2
ES61;86781;A;L0008;KM2
ES62;11302;A;L0008;KM2
ES63;20;A;L0008;KM2
ES64;14;A;L0008;KM2
ES70;7422;A;L0008;KM2
FI19;58303;A;L0008;KM2
FI1B;9097;A;L0008;KM2
FI1C;31463;A;L0008;KM2
FI1D;203900;A;L0008;KM2
FI20;1553;A;L0008;KM2
FR10;11952;A;L0008;KM2
FRB0;39232;A;L0008;KM2
FRC1;31575;A;L0008;KM2
FRC2;16209;A;L0008;KM2
