Lon;Lat;Year;Total;geometry;area_km2
16,25;61,75;2020;17,125;POLYGON ((4641233.789277242 4280181.426433443, 4636200.804541659 4335498.545782709, 4662382.902141099 4337828.859544411, 4667834.327694071 4282545.008666339, 4641233.789277242 4280181.426433443));1471,7558715037665
14,25;56,75;2020;17,313;POLYGON ((4567401.707058106 3717610.106326819, 4564195.899666046 3773157.0235343645, 4594551.291134489 3774960.091801843, 4598157.440160106 3719433.862334577, 4567401.707058106 3717610.106326819));1703,1276679432576
7,75;48,25;2020;5,775;POLYGON ((4134377.889524886 2768314.2877330203, 4136213.135636907 2823860.415357197, 4173158.817924542 2822733.234367694, 4171690.557835467 2767177.887233131, 4134377.889524886 2768314.2877330203));2064,4225050250575
17,75;51,75;2020;3,843;POLYGON ((4840746.44237895 3181098.6250355914, 4835034.616316369 3236481.664095375, 4869149.201267065 3240127.7041425686, 4875240.793234931 3184778.892909209, 4840746.44237895 3181098.6250355914));1920,9174708814865
-2,25;42,75;2020;10,362;POLYGON ((3295521.9294690844 2240337.164861306, 3304104.7135202475 2295146.3400457846, 3344378.2463061 2288503.8903969848, 3336137.2180957645 2233650.4495057394, 3295521.9294690844 2240337.164861306));2273,681784254089
-2,25;41,25;2020;3,079;POLYGON ((3270090.3504792703 2076017.8922909598, 3278514.5577761354 2130771.9027358694, 3319807.1678742464 2123998.3048860803, 3311718.510422473 2069201.6778790706, 3270090.3504792703 2076017.8922909598));2327,1074869665968
23,75;63,75;2020;13,406;POLYGON ((4991965.17376806 4553376.739851399, 4980492.5830044225 4607805.075590143, 5004536.84730957 4612611.316110429, 5016429.401721809 4558258.602722604, 4991965.17376806 4553376.739851399));1375,7921554229677
-3,25;42,25;2020;14,977;POLYGON ((3205239.1354270037 2199825.877980698, 3214448.050480335 2254524.8747579097, 3254958.1841090955 2247295.364722786, 3246088.5679160897 2192549.0535600437, 3205239.1354270037 2199825.877980698));2291,6689970893385
8,25;49,25;2020;6,018;POLYGON ((4174635.2508112686 2878300.1331495685, 4176119.8280083365 2933877.516358781, 4212333.127923051 2933015.363698846, 4211219.656387163 2877430.6518431874, 4174635.2508112686 2878300.1331495685));2024,2110819209356
27,75;62,75;2020;11,864;POLYGON ((5215861.441859153 4489734.056902592, 5201170.085389353 4543549.340504102, 5225669.036503106 4549924.7421435835, 5240772.172519637 4496205.40288441, 5215861.441859153 4489734.056902592));1424,003455183896
11,75;57,75;2020;4,91;POLYGON ((4411037.649009218 3822929.352961869, 4409823.523645364 3878528.58966068, 4439423.439285713 3879254.031085127, 4441042.200167024 3823663.471736504, 4411037.649009218 3822929.352961869));1657,8858187037054
-2,25;48,25;2020;2,407;POLYGON ((3392788.023348935 2843962.0265664426, 3401937.812527736 2898892.799677649, 3438318.2503315858 2892773.5253910655, 3429532.3720212844 2837792.4452957455, 3392788.023348935 2843962.0265664426));2064,4224060068946
20,75;49,25;2020;11,117;POLYGON ((5086532.299783898 2931032.9833195447, 5078754.73633986 2986165.0784206428, 5114534.4570819335 2991449.0433429326, 5122680.63004748 2936362.037452294, 5086532.299783898 2931032.9833195447));2024,2110089683772
26,75;61,25;2020;14,624;POLYGON ((5207120.378655738 4315149.434007971, 5193433.25337354 4369238.538239482, 5219271.332361239 4375530.260955012, 5233366.459702601 4321529.470142819, 5207120.378655738 4315149.434007971));1495,4553492853327
15,75;59,75;2020;14,03;POLYGON ((4632866.24021372 4056447.2130976953, 4628334.200630994 4111860.1059643636, 4656198.567798582 4114125.213054495, 4661141.838119916 4058741.878882532, 4632866.24021372 4056447.2130976953));1565,8253943345592
3,25;50,75;2020;0,346;POLYGON ((3825196.1624972033 3066835.4617522615, 3830472.135997862 3122243.2680214494, 3865399.155629656 3119007.3706729608, 3860499.344920617 3063570.3667193153, 3825196.1624972033 3066835.4617522615));1962,701528585771
8,75;41,75;2020;2,53;POLYGON ((4195262.769713006 2045521.571738483, 4196282.328906061 2100836.6941456227, 4237851.442314496 2100148.2596989563, 4237171.723873064 2044828.7491877137, 4195262.769713006 2045521.571738483));2309,4781253248416
20,25;54,25;2020;3,982;POLYGON ((4974461.8735596165 3477801.446420094, 4966657.04605967 3532978.9381217463, 4998681.352447527 3537563.011110322, 5006874.450608846 3482433.1156498366, 4974461.8735596165 3477801.446420094));1813,8242519345797
12,75;61,25;2020;11,843;POLYGON ((4456677.028520149 4213432.802313079, 4454587.493721905 4268925.146052312, 4481287.604044974 4269966.032679185, 4483794.851349063 4214488.20317805, 4456677.028520149 4213432.802313079));1495,4553855344839
10,25;49,75;2020;4,313;POLYGON ((4321000 2931906.836753067, 4321000 2987510.5669649444, 4356851.657958966 2987632.680915886, 4357224.8594747335 2932030.008911024, 4321000 2931906.836753067));2003,865432315357
22,25;51,75;2020;5,052;POLYGON ((5149954.69218115 3222732.8174327444, 5140833.168109668 3277728.1518641417, 5174611.550647705 3283479.9012788855, 5184110.60254081 3228538.718175446, 5149954.69218115 3222732.8174327444));1920,917421273271
5,25;45,75;2020;4,844;POLYGON ((3929963.2493887446 2500632.2028345186, 3933529.361374942 2556032.530080406, 3972219.460911879 2553558.5463830736, 3969009.6949915346 2498139.821835039, 3929963.2493887446 2500632.2028345186));2162,085425736217
12,75;47,75;2020;11,224;POLYGON ((4509447.106748555 2712780.675397696, 4507622.110475114 2768314.2877330203, 4544924.983795588 2769703.1542389793, 4547114.866206024 2714180.686445845, 4509447.106748555 2712780.675397696));2084,285401528115
26,75;65,75;2020;29,758;POLYGON ((5081802.4285224965 4800817.53266759, 5067585.204033998 4854606.367703483, 5089675.717024637 4860069.561102531, 5104315.962452231 4806375.786149307, 5081802.4285224965 4800817.53266759));1278,0526127180747
20,25;49,25;2020;10,248;POLYGON ((5050343.260346688 2925950.717488001, 5042934.54041408 2981125.79839461, 5078754.73633986 2986165.0784206428, 5086532.299783898 2931032.9833195447, 5050343.260346688 2925950.717488001));2024,2110157421241
3,25;48,75;2020;2,765;POLYGON ((3804374.253879939 2845267.351524793, 3809537.2337209214 2900647.7687791754, 3845956.924351212 2897296.9074195297, 3841162.0964513123 2841888.51008528, 3804374.253879939 2845267.351524793));2044,3972272493854
12,25;57,25;2020;5,902;POLYGON ((4442653.286970216 3768064.9797791117, 4441042.200167024 3823663.471736504, 4471039.895522402 3824607.29127607, 4473053.638931787 3769019.8535541254, 4442653.286970216 3768064.9797791117));1680,5738706606626
29,25;62,75;2020;12,445;POLYGON ((5290425.839029628 4509684.289058887, 5274501.195057862 4563203.666471257, 5298831.384805483 4570106.602365328, 5315165.718562308 4516691.240408095, 5290425.839029628 4509684.289058887));1424,003453031347
11,25;53,25;2020;7,328;POLYGON ((4388138.600454633 3321736.463013416, 4387364.189320393 3377372.7237748387, 4420541.71168674 3377944.653234631, 4421703.2955507 3322314.079618597, 4388138.600454633 3321736.463013416));1857,105192951646
26,25;61,25;2020;15,111;POLYGON ((5180821.666926338 4308957.003301429, 5167543.13383659 4363131.790447917, 5193433.25337354 4369238.538239482, 5207120.378655738 4315149.434007971, 5180821.666926338 4308957.003301429));1495,4553512501043
9,75;47,25;2020;9,782;POLYGON ((4282939.71947534 2654181.773655381, 4283302.701716531 2709725.8500875044, 4321000 2709598.5580891585, 4321000 2654053.479931807, 4282939.71947534 2654181.773655381));2103,9845391546733
19,75;66,75;2020;19,245;POLYGON ((4745825.963705771 4849852.916471018, 4737525.097117108 4904613.163761205, 4759270.031873213 4907699.426537332, 4768005.039463911 4852995.513626811, 4745825.963705771 4849852.916471018));1228,5547494174914
17,25;66,25;2020;15,029;POLYGON ((4640662.874011257 4781518.087155757, 4634563.40493953 4836546.691146692, 4656860.264919179 4838886.605307638, 4663393.902864336 4783899.578290636, 4640662.874011257 4781518.087155757));1253,3544053150042
6,75;44,25;2020;10,672;POLYGON ((4039752.080559667 2327701.982472426, 4042204.972052225 2383095.9087664657, 4082006.497694528 2381365.4968410414, 4079903.9078513463 2325959.4257313013, 4039752.080559667 2327701.982472426));2218,6630853622064
18,25;50,75;2020;12,142;POLYGON ((4887328.329483798 3074089.577141571, 4881300.540371437 3129432.4914285387, 4916142.411734986 3133385.5881225667, 4922545.829725978 3078078.3692636667, 4887328.329483798 3074089.577141571));1962,7015152387153
29,75;64,75;2020;23,417;POLYGON ((5249415.347623598 4730125.909189085, 5232806.555462811 4783386.33946087, 5255425.632491568 4790028.961062004, 5272449.77317938 4736878.732698258, 5249415.347623598 4730125.909189085));1327,1368462279559
10,25;46,25;2020;15,844;POLYGON ((4321000 2543009.1490762914, 4321000 2598523.3238534243, 4359421.197440251 2598652.6080122753, 4359780.041818008 2543139.4123820667, 4321000 2543009.1490762914));2142,885931045229
-0,75;42,75;2020;18,41;POLYGON ((3417514.1550414665 2221092.1344225546, 3425071.1047966275 2276028.651611214, 3465486.3136763913 2270196.1789531885, 3458271.6700945487 2215220.84821657, 3417514.1550414665 2221092.1344225546));2273,681813760261
9,25;49,75;2020;11,676;POLYGON ((4248552.20763455 2932399.521638999, 4249298.599371912 2987999.019001808, 4285148.342041034 2987632.680915886, 4284775.1405252665 2932030.008911024, 4248552.20763455 2932399.521638999));2003,8654319982488
-5,75;39,25;2020;0,838;POLYGON ((2937878.4529655073 1914016.4914905198, 2948373.848532891 1968352.8276325813, 2990583.3561975425 1959442.1459035217, 2980413.86611838 1905053.6959822858, 2937878.4529655073 1914016.4914905198));2395,806687262805
28,75;62,75;2020;14,467;POLYGON ((5265627.481117463 4502855.577045572, 5250113.242836184 4556476.280572952, 5274501.195057862 4563203.666471257, 5290425.839029628 4509684.289058887, 5265627.481117463 4502855.577045572));1424,0034537304496
-2,25;47,75;2020;2,777;POLYGON ((3383688.855216654 2789037.021109264, 3392788.023348935 2843962.0265664426, 3429532.3720212844 2837792.4452957455, 3420795.1391657833 2782817.6819133023, 3383688.855216654 2789037.021109264));2084,2853017523553
-4,25;40,75;2020;4,509;POLYGON ((3094416.726970235 2051501.2056895222, 3104119.7148192013 2106049.152781754, 3145526.8873773264 2098126.729431481, 3136156.613877556 2043529.7776325948, 3094416.726970235 2051501.2056895222));2344,5562450443485
17,25;51,25;2020;5,315;POLYGON ((4811527.864002138 3122243.2680214494, 4806223.890679086 3177655.2378836526, 4840746.44237895 3181098.6250355914, 4846428.393548375 3125718.3452153597, 4811527.864002138 3122243.2680214494));1941,8862695123526
-6,75;37,25;2020;0,79;POLYGON ((2809156.86548893 1716077.048725093, 2820010.7069101823 1770223.5026582761, 2863372.7776654065 1760534.31990838, 2852836.139386072 1706335.3905739505, 2809156.86548893 1716077.048725093));2461,540713586987
19,75;67,25;2020;13,28;POLYGON ((4737525.097117108 4904613.163761205, 4729190.467947665 4959340.447937424, 4750499.526745454 4962369.92915644, 4759270.031873213 4907699.426537332, 4737525.097117108 4904613.163761205));1203,655557465148
10,25;52,25;2020;2,985;POLYGON ((4321000 3210000, 4321000 3265635.6079546455, 4354955.452787401 3265752.261235227, 4355338.696787077 3210117.7680448084, 4321000 3210000));1899,7966928336664
4,75;46,25;2020;4,038;POLYGON ((3894859.2509416766 2558766.682615864, 3898804.4394982047 2614162.3477706, 3937116.230698148 2611448.7677688836, 3933529.361374942 2556032.530080406, 3894859.2509416766 2558766.682615864));2142,885910312063
24,75;60,25;2020;6,424;POLYGON ((5125564.911927924 4182601.932379464, 5113621.921785757 4237066.857927179, 5140477.505647658 4242772.072579466, 5152827.253890325 4188383.6111051254, 5125564.911927924 4182601.932379464));1542,4919050671801
-2,25;39,25;2020;0,577;POLYGON ((3236927.846881006 1857216.7720527567, 3245137.9388612085 1911882.753681737, 3287760.209536271 1904941.9898707902, 3279877.2815914624 1850235.5923545081, 3236927.846881006 1857216.7720527567));2395,806779955013
-0,25;47,25;2020;1,662;POLYGON ((3524782.7594095813 2710572.246309133, 3532389.8927874938 2765675.1522642644, 3569673.5332625546 2760466.6923936587, 3562427.2654760135 2705322.642768306, 3524782.7594095813 2710572.246309133));2103,9844636853204
-1,25;49,25;2020;0,109;POLYGON ((3483213.689316919 2941937.7182057835, 3491728.2264466695 2996977.5305548515, 3527465.5429180665 2991449.0433429326, 3519319.3699525204 2936362.037452294, 3483213.689316919 2941937.7182057835));2024,211001879827
13,25;61,75;2020;18,026;POLYGON ((4481287.604044974 4269966.032679185, 4478769.16933193 4325426.8820935665, 4505040.329004465 4326639.616680993, 4507978.230150185 4271196.068986787, 4481287.604044974 4269966.032679185));1471,7558749760738
26,75;62,25;2020;17,883;POLYGON ((5179686.329420034 4423298.755518233, 5165879.833311449 4477328.969950127, 5190896.818658686 4483441.821256609, 5205114.707305825 4429501.416737354, 5179686.329420034 4423298.755518233));1447,9379382417626
16,75;53,75;2020;9,393;POLYGON ((4751713.392845215 3396237.8418306177, 4746658.860425503 3451685.4605583963, 4779287.474052627 3454739.772508921, 4784729.970626877 3399323.18032146, 4751713.392845215 3396237.8418306177));1835,5376086526603
14,75;56,75;2020;16,836;POLYGON ((4598157.440160106 3719433.862334577, 4594551.291134489 3774960.091801843, 4624891.119857902 3776975.060437562, 4628897.474810113 3721471.95287261, 4598157.440160106 3719433.862334577));1703,1276663629656
12,75;52,25;2020;7,912;POLYGON ((4492656.133481627 3212944.00905023, 4490740.165513505 3268551.747100368, 4524667.794431069 3269834.721014678, 4526966.817349213 3214239.2462494946, 4492656.133481627 3212944.00905023));1899,796688788012
-1,25;38,25;2020;1,207;POLYGON ((3307915.6551020653 1734125.8645097022, 3315371.540282046 1788818.6803295626, 3358745.515853459 1782368.5891688643, 3351612.831882522 1727639.694646041, 3307915.6551020653 1734125.8645097022));2429,048987589544
22,75;54,25;2020;3,91;POLYGON ((5136125.375951603 3503205.625498807, 5126382.228299918 3558121.879681221, 5158199.354979237 3563816.3335499857, 5168329.186514794 3508959.3062722394, 5136125.375951603 3503205.625498807));1813,8242261856055
-0,25;38,75;2020;1,373;POLYGON ((3402166.0522975815 1776204.1891333966, 3409021.082369027 1830995.2157308094, 3452160.457531291 1825149.9520923176, 3445631.0269861827 1770325.6144520503, 3402166.0522975815 1776204.1891333966));2412,5211514341936
14,25;56,25;2020;11,062;POLYGON ((4570592.0763904 3662056.9024909534, 4567401.707058106 3717610.106326819, 4598157.440160106 3719433.862334577, 4601746.228524654 3663901.1532505797, 4570592.0763904 3662056.9024909534));1725,545529135621
19,25;50,75;2020;5,931;POLYGON ((4957730.959718469 3082308.152708034, 4950952.114798186 3137577.5090329163, 4985727.756610074 3142008.1201542113, 4992881.814482091 3086778.7941258224, 4957730.959718469 3082308.152708034));1962,7015048827882
12,75;60,75;2020;26,584;POLYGON ((4458757.20506145 4157924.7110565766, 4456677.028520149 4213432.802313079, 4483794.851349063 4214488.20317805, 4486290.87202584 4158994.5003995663, 4458757.20506145 4157924.7110565766));1519,0346758147698
12,25;49,75;2020;10,382;POLYGON ((4465880.171991664 2933877.516358781, 4464387.478878823 2989464.314838306, 4500219.983792892 2990563.227377381, 4502085.765458508 2934985.9533910733, 4465880.171991664 2933877.516358781));2003,865429144821
4,25;49,75;2020;5,048;POLYGON ((3886852.7116675563 2949637.1958440267, 3891327.896883999 3005088.5082404977, 3927053.138756855 3002281.7949228887, 3922950.4086265867 2946806.1331532276, 3886852.7116675563 2949637.1958440267));2003,8654114210433
13,25;51,75;2020;7,242;POLYGON ((4529253.882578651 3158647.5864934684, 4526966.817349213 3214239.2462494946, 4561266.295962838 3215769.881213486, 4563934.351557359 3160192.567794421, 4529253.882578651 3158647.5864934684));1920,917498428048
16,75;53,25;2020;9,385;POLYGON ((4756742.365499547 3340789.2871717145, 4751713.392845215 3396237.8418306177, 4784729.970626877 3399323.18032146, 4790144.958289657 3343905.3471385157, 4756742.365499547 3340789.2871717145));1857,1051710365196
25,25;64,25;2020;17,431;POLYGON ((5052499.204127529 4622741.669360604, 5039714.734780452 4676902.556233487, 5063209.902359225 4682141.684679002, 5076414.343265692 4628065.328240577, 5052499.204127529 4622741.669360604));1351,5190588535104
-1,25;39,25;2020;5,919;POLYGON ((3322877.3776563853 1843538.1749327464, 3330432.988630091 1898283.3249565403, 3373154.164654365 1891906.9094891348, 3365926.0169762103 1837124.6686193347, 3322877.3776563853 1843538.1749327464));2395,8068022120656
17,75;63,75;2020;26,241;POLYGON ((4695655.872567816 4508549.342913521, 4689257.96108666 4563671.015693096, 4713685.543143335 4566390.363710738, 4720508.393052424 4511311.355252005, 4695655.872567816 4508549.342913521));1375,79215722635
24,25;63,75;2020;14,084;POLYGON ((5016429.401721809 4558258.602722604, 5004536.84730957 4612611.316110429, 5028539.54671184 4617590.255017014, 5040851.523516646 4563315.905587339, 5016429.401721809 4558258.602722604));1375,7921553400154
19,25;49,25;2020;11,577;POLYGON ((4977850.814525321 2916527.1591957207, 4971180.4382647 2971781.904995307, 5007075.798170798 2976331.35817514, 5014115.451939369 2921115.3939833306, 4977850.814525321 2916527.1591957207));2024,2110283411955
-4,25;42,75;2020;6,483;POLYGON ((3133596.8962272527 2269797.0926136626, 3143544.621000895 2324410.983792442, 3183600.416506009 2316690.962315946, 3173993.5978321168 2262025.513558713, 3133596.8962272527 2269797.0926136626));2273,6817390115993
22,75;49,25;2020;8,985;POLYGON ((5230861.959935936 2953828.2744565336, 5221611.476178316 3008767.382818268, 5257210.002973783 3015028.3839898068, 5266828.046296809 2960142.7881315933, 5230861.959935936 2953828.2744565336));2024,2109787365132
3,25;47,75;2020;5,857;POLYGON ((3794133.8906833157 2734536.146210115, 3799239.772630559 2789896.4554662234, 3836393.74632156 2786489.9382040673, 3831651.96738471 2731102.257337578, 3794133.8906833157 2734536.146210115));2084,2853748037605
-1,75;43,25;2020;11,951;POLYGON ((3344378.2463061 2288503.8903969848, 3352669.7012505205 2343374.188706707, 3392648.511822017 2337044.546141296, 3384701.062979956 2282131.2736619506, 3344378.2463061 2288503.8903969848));2255,517536454597
13,75;56,75;2020;15,316;POLYGON ((4536632.019589122 3716000.7519795126, 4533826.674429189 3771565.9228572655, 4564195.899666046 3773157.0235343645, 4567401.707058106 3717610.106326819, 4536632.019589122 3716000.7519795126));1703,1276693495288
16,25;49,25;2020;6,963;POLYGON ((4759598.191370426 2894193.853734312, 4755147.288332444 2949637.1958440267, 4791221.8631023085 2952714.062649003, 4796043.075648788 2897296.9074195297, 4759598.191370426 2894193.853734312));2024,2110584858103
25,25;68,25;2020;20,111;POLYGON ((4948738.512438167 5055028.41666988, 4935532.1411794955 5108889.98274892, 4955607.553317002 5113428.109652779, 4969247.157926466 5059656.580910113, 4948738.512438167 5055028.41666988));1153,5664383856401
-4,25;38,25;2020;3,734;POLYGON ((3046832.432391394 1779068.0918241534, 3056224.451823956 1833510.4124248459, 3099274.4333039653 1825349.3544228282, 3090204.705957396 1770861.2246579323, 3046832.432391394 1779068.0918241534));2429,0489133818883
16,25;62,25;2020;22,751;POLYGON ((4636200.804541659 4335498.545782709, 4631145.588395896 4390796.34192637, 4656907.408924284 4393093.101719095, 4662382.902141099 4337828.859544411, 4636200.804541659 4335498.545782709));1447,9379583137231
2,75;44,25;2020;6,658;POLYGON ((3719221.1240940206 2351283.922136342, 3724473.5431766137 2406513.342584639, 3764104.8653040705 2402656.029849239, 3759202.025946616 2347399.492599518, 3719221.1240940206 2351283.922136342));2218,6630511139656
21,25;53,75;2020;7,899;POLYGON ((5047787.194971122 3432203.9932004646, 5039248.904437604 3487289.541148689, 5071583.419955612 3492370.553939047, 5080507.49036441 3437336.747149905, 5047787.194971122 3432203.9932004646));1835,5375703760608
26,25;63,75;2020;16,898;POLYGON ((5113850.288858662 4579538.1754744, 5100283.488658295 4633560.992791794, 5124105.165690641 4639228.416170994, 5138089.026863942 4585294.919642353, 5113850.288858662 4579538.1754744));1375,792155235066
